patch,date_start,date_end
6.7,2010-12-24 00:00:00.000,2011-01-20 23:59:59.000
6.71,2011-01-21 00:00:00.000,2011-04-26 23:59:59.000
6.72,2011-04-27 00:00:00.000,2011-12-23 23:59:59.000
6.73,2011-12-24 00:00:00.000,2012-03-09 23:59:59.000
6.74,2012-03-10 00:00:00.000,2012-09-29 23:59:59.000
6.75,2012-09-30 00:00:00.000,2012-10-20 23:59:59.000
6.76,2012-10-21 00:00:00.000,2012-12-14 23:59:59.000
6.77,2012-12-15 00:00:00.000,2013-05-29 23:59:59.000
6.78,2013-05-30 00:00:00.000,2013-11-23 23:59:59.000
6.79,2013-11-24 00:00:00.000,2014-01-26 23:59:59.000
6.8,2014-01-27 00:00:00.000,2014-04-28 23:59:59.000
6.81,2014-04-29 00:00:00.000,2014-09-23 23:59:59.000
6.82,2014-09-24 00:00:00.000,2014-12-16 23:59:59.000
6.83,2014-12-17 00:00:00.000,2015-04-30 20:59:59.000
6.84,2015-04-30 21:00:00.000,2015-09-24 19:59:59.000
6.85,2015-09-24 20:00:00.000,2015-12-16 19:59:59.000
6.86,2015-12-16 20:00:00.000,2016-04-26 00:59:59.000
6.87,2016-04-26 01:00:00.000,2016-06-12 07:59:59.000
6.88,2016-06-12 08:00:00.000,2016-12-12 23:59:59.000
7.0,2016-12-13 00:00:00.000,2016-12-21 02:59:59.000
7.01,2016-12-21 03:00:00.000,2017-02-09 03:59:59.000
7.02,2017-02-09 04:00:00.000,2017-03-15 23:59:59.000
7.03,2017-03-16 00:00:00.000,2017-03-23 17:59:59.000
7.04,2017-03-23 18:00:00.000,2017-04-09 21:59:59.000
7.05,2017-04-09 22:00:00.000,2017-05-15 14:59:59.000
7.06,2017-05-15 15:00:00.000,2017-10-31 22:59:59.000
7.07,2017-10-31 23:00:00.000,2018-01-31 23:59:59.000
7.08,2018-02-01 00:00:00.000,2018-02-14 23:59:59.000
7.09,2018-02-15 00:00:00.000,2018-02-28 23:59:59.000
7.1,2018-03-01 00:00:00.000,2018-03-14 23:59:59.000
7.11,2018-03-15 00:00:00.000,2018-03-28 23:59:59.000
7.12,2018-03-29 00:00:00.000,2018-04-11 23:59:59.000
7.13,2018-04-12 00:00:00.000,2018-04-25 23:59:59.000
7.14,2018-04-26 00:00:00.000,2018-05-09 23:59:59.000
7.15,2018-05-10 00:00:00.000,2018-05-26 23:59:59.000
7.16,2018-05-27 00:00:00.000,2018-06-09 23:59:59.000
7.17,2018-06-10 00:00:00.000,2018-06-23 23:59:59.000
7.18,2018-06-24 00:00:00.000,2018-07-29 23:59:59.000
7.19,2018-07-30 00:00:00.000,2018-11-19 17:59:59.000
7.2,2018-11-19 18:00:00.000,2019-01-29 17:59:59.000
7.21,2019-01-29 18:00:00.000,2019-05-24 23:59:59.000
7.22,2019-05-25 00:00:00.000,2019-11-26 17:59:59.000
7.23,2019-11-26 18:00:00.000,2020-01-26 23:59:59.000
7.24,2020-01-27 00:00:00.000,2020-03-17 17:59:59.000
7.25,2020-03-17 18:00:00.000,2020-04-17 23:59:59.000
7.26,2020-04-18 00:00:00.000,2020-06-28 23:59:59.000
7.27,2020-06-29 00:00:00.000,2020-12-17 23:59:59.000
7.28,2020-12-18 00:00:00.000,2021-04-09 23:59:59.000
7.29,2021-04-10 00:00:00.000,2021-08-18 02:53:20.000
7.3,2021-08-18 02:53:21.000,2022-02-23 23:46:13.907
7.31,2022-02-23 23:46:14.907,2022-08-24 02:16:31.682
7.32,2022-08-24 02:16:32.682,2023-04-21 01:22:55.804
7.33,2023-04-21 01:22:56.804,2023-08-09 00:11:14.281
7.34,2023-08-09 00:11:15.281,2023-12-14 16:07:42.429
7.35,2023-12-14 16:07:43.429,2024-05-23 05:26:04.242
7.36,2024-05-23 05:26:05.242,2024-08-01 07:30:26.355
7.37,2024-08-01 07:30:27.355,2099-12-31 00:00:00.000
